id_company|company_name|id_company_company_name
ID_COM_00|Alliance Data Card Services|ID_COM_00,Alliance Data Card Services
ID_COM_01|Banco Santander Puerto Rico|ID_COM_01,Banco Santander Puerto Rico
ID_COM_02|Citibank|ID_COM_02,Citibank
ID_COM_03|Equifax|ID_COM_03,Equifax
ID_COM_04|First Data Corporation|ID_COM_04,First Data Corporation
ID_COM_05|FirstMerit Bank|ID_COM_05,FirstMerit Bank
ID_COM_06|KeyCorp|ID_COM_06,KeyCorp
ID_COM_07|Quicken Loans|ID_COM_07,Quicken Loans
ID_COM_08|Santander Bank US|ID_COM_08,Santander Bank US
